"t" "date" "time" "comments" "neg" "pos" "emo"
"1" 1 "2012-07-11" "16:44:00" 330 -1.7303 1.997 0.2667
"2" 2 "2012-07-11" "16:59:00" 292 -1.7808 2.0479 0.2671
"3" 3 "2012-07-11" "17:14:00" 373 -1.7641 2.008 0.244
"4" 4 "2012-07-11" "17:29:00" 372 -1.9167 1.9704 0.0538
"5" 5 "2012-07-11" "17:44:00" 359 -1.7855 2.0084 0.2228
"6" 6 "2012-07-11" "17:59:00" 351 -1.7892 1.9772 0.188
"7" 7 "2012-07-11" "18:14:00" 367 -1.7629 1.97 0.2071
"8" 8 "2012-07-11" "18:29:00" 337 -1.7953 1.9941 0.1988
"9" 9 "2012-07-11" "18:44:00" 299 -1.796 1.9231 0.1271
"10" 10 "2012-07-11" "18:59:00" 272 -1.8199 1.9743 0.1544
"11" 11 "2012-07-11" "19:14:00" 325 -1.7323 1.9815 0.2492
"12" 12 "2012-07-11" "19:29:00" 296 -1.9088 2.0203 0.1115
"13" 13 "2012-07-11" "19:44:00" 297 -1.8418 2.0976 0.2559
"14" 14 "2012-07-11" "19:59:00" 301 -1.7309 2.0133 0.2824
"15" 15 "2012-07-11" "20:14:00" 355 -1.7577 2.0028 0.2451
"16" 16 "2012-07-11" "20:29:00" 301 -1.7309 2.1462 0.4153
"17" 17 "2012-07-11" "20:44:00" 279 -1.7814 2.147 0.3656
"18" 18 "2012-07-11" "20:59:00" 347 -1.6744 2.1758 0.5014
"19" 19 "2012-07-11" "21:14:00" 536 -1.9254 2.0541 0.1287
"20" 20 "2012-07-11" "21:29:00" 404 -1.6955 2.1832 0.4876
"21" 21 "2012-07-11" "21:44:00" 384 -1.6589 2.224 0.5651
"22" 22 "2012-07-11" "21:59:00" 292 -1.6849 2.1712 0.4863
"23" 23 "2012-07-11" "22:14:00" 257 -1.6732 2.0973 0.4241
"24" 24 "2012-07-11" "22:29:00" 275 -1.8145 2.0036 0.1891
"25" 25 "2012-07-11" "22:44:00" 226 -1.7434 2.1504 0.4071
"26" 26 "2012-07-11" "22:59:00" 166 -1.7229 2.0542 0.3313
"27" 27 "2012-07-11" "23:14:00" 158 -1.8734 1.9494 0.0759
