ObjectsNames,ObjectsID,IdentifiedObject.name,DiscreteValue.Discrete,MeasurementValue.MeasurementValueSource,IdentifiedObject.aliasName,Switch.normalOpen,Equipment.EquipmentContainer,Measurement.measurementType,Measurement.PowerSystemResource,Terminal.sequenceNumber,Terminal.ConductingEquipment,Terminal.ConnectivityNode,ConnectivityNode.ConnectivityNodeContainer,AuxiliaryEquipment.Terminal,PowerSystemResource.AssetDatasheet,ConductingEquipment.BaseVoltage,Terminal.phases,VoltageLevel.BaseVoltage,VoltageLevel.Substation
FullModel,urn:uuid:8c36a100-f3c5-4a2a-a52a-064e7d29bd1a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DiscreteValue,_b76d7401e4ed40649573510496bd916b,Pos,#_89bb87a723104d70b4704a4f754d2ff2,#_3f2c1e80a65f4f81a1cc62abbbb790ae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DiscreteValue,_3a14f33535a040c79cbfb6d55d04ff74,Pos,#_c3816253fa88489c8de40c815455c7ae,#_3f2c1e80a65f4f81a1cc62abbbb790ae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DiscreteValue,_a4462f7418d24e63a1edeb5cab3153f8,Pos,#_8a4c9ec019ef45a4a1ea5eca9860ea45,#_3f2c1e80a65f4f81a1cc62abbbb790ae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DiscreteValue,_1a356244ad424a77acdf0ed3711c5736,Pos,#_16986df52928479b8055b7af348ee550,#_3f2c1e80a65f4f81a1cc62abbbb790ae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fuse,_067305ff995f4ff3893ec582115d3599,Bezpiecznik,NA,NA,Bezpiecznik,false,#_ce31422925764f0baa12b179a999981f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discrete,_b5d7480166dc4ebbb87f74242a696dc0,Pos,NA,NA,NA,NA,NA,SwitchPosition,#_067305ff995f4ff3893ec582115d3599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terminal,_0f52cabbeef149839b5289ee1c2faef7,T1,NA,NA,NA,NA,NA,NA,NA,1,#_067305ff995f4ff3893ec582115d3599,#_ae9a889f8bd04e7c8469c315a3e87e74,NA,NA,NA,NA,NA,NA,NA
ConnectivityNode,_ae9a889f8bd04e7c8469c315a3e87e74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#_2ef5a74061c64350be75ec6f6eae443f,NA,NA,NA,NA,NA,NA
Terminal,_c55683d8a91f4499a25344d4e6829314,T2,NA,NA,NA,NA,NA,NA,NA,NA,#_067305ff995f4ff3893ec582115d3599,NA,NA,NA,NA,NA,NA,NA,NA
Fuse,_c37ff1d31a6246869a3164fb025190ae,Bezpiecznik,NA,NA,Bezpiecznik,false,#_7aa09f53bff848b08f8504727db92335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discrete,_72a0395de97f4126b1cb2e2f667599dc,Pos,NA,NA,NA,NA,NA,SwitchPosition,#_c37ff1d31a6246869a3164fb025190ae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terminal,_7b730de673724052a8a18ecf0baf84a0,T1,NA,NA,NA,NA,NA,NA,NA,1,#_c37ff1d31a6246869a3164fb025190ae,#_6c4dd3af337b41798ae5c1fc2773faf9,NA,NA,NA,NA,NA,NA,NA
ConnectivityNode,_6c4dd3af337b41798ae5c1fc2773faf9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#_2ef5a74061c64350be75ec6f6eae443f,NA,NA,NA,NA,NA,NA
Terminal,_90dfdb07a0fd485fa01dc79ae9801053,T2,NA,NA,NA,NA,NA,NA,NA,NA,#_c37ff1d31a6246869a3164fb025190ae,NA,NA,NA,NA,NA,NA,NA,NA
Fuse,_73dd91a5899a41fba49788dfa0df5b97,Bezpiecznik,NA,NA,Bezpiecznik,false,#_f373e844478540b7b3e07c890e8676d2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discrete,_91b608aad435445385e513dc9df8aaa7,Pos,NA,NA,NA,NA,NA,SwitchPosition,#_73dd91a5899a41fba49788dfa0df5b97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terminal,_e3636acd58494db38b40344f06a85fe7,T1,NA,NA,NA,NA,NA,NA,NA,1,#_73dd91a5899a41fba49788dfa0df5b97,#_6e016ba2397f4f2b8068459582565d4a,NA,NA,NA,NA,NA,NA,NA
