"h1","h2","lr","iter","Czulosc_TRAIN","Specyficznosc_TRAIN","Jakosc_TRAIN","Czulosc_TEST","Specyficznosc_TEST","Jakosc_TEST"
4,4,0.001,10000,1,0,0.553125,1,0,0.6625
5,5,0.001,10000,1,0,0.5625,1,0,0.625
6,6,0.001,10000,1,0,0.6,1,0,0.475
7,7,0.001,10000,1,0,0.596875,1,0,0.4875
8,8,0.001,10000,1,0,0.59375,1,0,0.5
4,4,0.001,20000,1,0,0.56875,1,0,0.6
5,5,0.001,20000,1,0,0.5625,1,0,0.625
6,6,0.001,20000,1,0,0.6,1,0,0.475
7,7,0.001,20000,1,0,0.596875,1,0,0.4875
8,8,0.001,20000,1,0,0.59375,1,0,0.5
4,4,0.001,50000,1,0,0.56875,1,0,0.6
5,5,0.001,50000,1,0,0.5625,1,0,0.625
6,6,0.001,50000,1,0,0.6,1,0,0.475
7,7,0.001,50000,1,0,0.596875,1,0,0.4875
8,8,0.001,50000,1,0,0.59375,1,0,0.5
4,4,0.001,80000,1,0,0.56875,1,0,0.6
5,5,0.001,80000,1,0,0.5625,1,0,0.625
6,6,0.001,80000,1,0,0.6,1,0,0.475
7,7,0.001,80000,1,0,0.596875,1,0,0.4875
8,8,0.001,80000,1,0,0.59375,1,0,0.5
4,4,0.001,1e+05,1,0,0.56875,1,0,0.6
5,5,0.001,1e+05,1,0,0.5625,1,0,0.625
6,6,0.001,1e+05,1,0,0.6,1,0,0.475
7,7,0.001,1e+05,1,0,0.596875,1,0,0.4875
8,8,0.001,1e+05,1,0,0.59375,1,0,0.5
