"h1","h2","lr","iter","Jakosc_TRAIN","Jakosc_TEST"
4,4,0.001,10000,0.462,0.4356
5,5,0.001,10000,0.7004,0.434
6,6,0.001,10000,0.6288,0.4492
7,7,0.001,10000,0.2592,0.45
8,8,0.001,10000,0.2728,0.436
4,4,0.001,20000,0.4676,0.4336
5,5,0.001,20000,0.7252,0.4284
6,6,0.001,20000,0.7152,0.456
7,7,0.001,20000,0.4872,0.4408
8,8,0.001,20000,0.4268,0.4556
4,4,0.001,50000,0.592,0.442
5,5,0.001,50000,0.7924,0.428
6,6,0.001,50000,0.8196,0.4596
7,7,0.001,50000,0.7472,0.4496
8,8,0.001,50000,0.7348,0.4536
4,4,0.001,80000,0.736,0.4436
5,5,0.001,80000,0.8588,0.4452
6,6,0.001,80000,0.872,0.4736
7,7,0.001,80000,0.8344,0.4524
8,8,0.001,80000,0.7824,0.4564
4,4,0.001,1e+05,0.806,0.4368
5,5,0.001,1e+05,0.8796,0.4452
6,6,0.001,1e+05,0.8772,0.4716
7,7,0.001,1e+05,0.874,0.4652
8,8,0.001,1e+05,0.8328,0.458
