"C","lr","maxiter","Czulosc_TRAIN","Specyficznosc_TRAIN","Jakosc_TRAIN","Czulosc_TEST","Specyficznosc_TEST","Jakosc_TEST"
2,0.01,500,0.644242424242424,0.644242424242424,0.6625,0.616503496503497,0.616503496503497,0.575
3,0.01,500,0.702842059900883,0.702842059900883,0.68125,0.661038961038961,0.661038961038961,0.5375
4,0.01,500,0.587649611333822,0.587649611333822,0.684375,0.565726495726496,0.565726495726496,0.575
5,0.01,500,0.798301158301158,0.798301158301158,0.665625,0.751515151515151,0.751515151515151,0.6125
6,0.01,500,0.863340263340263,0.863340263340263,0.65625,0.814163614163614,0.814163614163614,0.55
7,0.01,500,0.924324324324324,0.924324324324324,0.615625,0.911111111111111,0.911111111111111,0.6125
8,0.01,500,0.639392452024031,0.639392452024031,0.625,0.628138528138528,0.628138528138528,0.6
9,0.01,500,0.739321325203678,0.739321325203678,0.596875,0.708874458874459,0.708874458874459,0.675
10,0.01,500,0.669279686926746,0.669279686926746,0.646875,0.621428571428571,0.621428571428571,0.475
11,0.01,500,0.858391248391248,0.858391248391248,0.584375,0.812525252525253,0.812525252525253,0.6
12,0.01,500,0.736638655462185,0.736638655462185,0.590625,0.824242424242424,0.824242424242424,0.65
13,0.01,500,0.944029304029304,0.944029304029304,0.609375,0.884090909090909,0.884090909090909,0.5125
14,0.01,500,0.623246836603704,0.623246836603704,0.659375,0.638181818181818,0.638181818181818,0.65
15,0.01,500,0.698193300298563,0.698193300298563,0.634375,0.575649350649351,0.575649350649351,0.575
16,0.01,500,0.740563890873488,0.740563890873488,0.6,0.64,0.64,0.55
17,0.01,500,0.520802005012531,0.520802005012531,0.609375,0.412727272727273,0.412727272727273,0.5375
18,0.01,500,0.835993135993136,0.835993135993136,0.60625,0.915151515151515,0.915151515151515,0.6125
19,0.01,500,0.415860597439545,0.415860597439545,0.6125,0.305555555555556,0.305555555555556,0.55
20,0.01,500,0.76503636714163,0.76503636714163,0.63125,0.693981018981019,0.693981018981019,0.5625
21,0.01,500,0.364710633131686,0.364710633131686,0.575,0.433838383838384,0.433838383838384,0.625
