x1	x2	x3	x4	x5	x6	y
2012917	32	8487882	10	2498298	12154024	379
2012917	195	3065947	9	2498034	12153951	422
2013583	133	5619845	5	2498746	12154391	473
2013500	133	5619845	5	2498746	12154391	548
2012833	5	3905684	5	2497937	12154245	431
2012667	71	217503	3	2496305	12151254	321
2012667	345	6234731	7	2497933	12153642	403
2013417	203	2876025	6	2498042	12154228	467
2013500	317	5512038	1	2495095	12148458	188
2013417	179	178318	3	2496731	12151486	221
2013083	348	4052134	1	2497349	12153372	414
2013333	63	9045606	9	2497433	1215431	581
2012917	13	4922313	5	2496515	12153737	393
2012667	204	2469645	4	2496108	12151046	238
2013500	132	1164838	4	2499156	12153406	343
2013583	357	5792083	2	249824	12154619	505
2013250	0	2929978	6	2497744	12154458	701
2012750	177	3508515	1	2497544	12153119	374
2013417	169	3681363	8	249675	12154451	423
2012667	15	2338284	7	2496772	12154102	477
2013417	45	2275877	3	2496314	12151151	293
2013417	105	2791726	7	2497528	12154541	516
2012917	147	1360139	1	2495204	12154842	246
2013083	101	2791726	7	2497528	12154541	479
2013000	396	4806977	4	2497353	12153885	388
2013083	293	1487868	2	2497542	12151726	27
2012667	31	3838624	5	2498085	12154391	562
2013250	104	276449	5	2495593	12153913	336
2013500	192	557478	4	2497419	12153797	47
2013083	71	4512438	5	2497563	12154694	571
2013500	259	451969	0	2494826	12149587	221
2012750	296	7694034	7	2498281	12153408	25
2012750	379	4885727	1	2497349	12153451	342
2013250	165	323655	6	2497841	12154281	493
2012750	154	205367	7	2498419	12154243	551
2013500	139	4079418	0	2501459	12151816	273
2012917	147	1935009	2	2496386	12151458	229
2013167	12	1360139	1	2495204	12154842	253
2012667	31	5779615	6	2497201	12154722	477
2013167	162	2893248	5	2498203	12154348	462
2013000	136	4082015	0	2494155	12150381	159
2013500	168	4066587	0	2494297	12150342	182
2013417	361	5194617	5	2496305	12153758	347
2012750	344	5127871	6	2498748	12154301	341
2013583	27	5334762	4	2497445	12154765	539
2013083	366	4888193	8	2497015	12154494	383
2013417	217	4639623	9	249703	12154458	42
2013583	359	6407391	3	2497563	12153715	615
2013417	242	4605749	0	2494684	12149578	134
2012667	294	4510359	1	2494925	12149542	132
2013417	217	5125487	4	24974	12153842	442
2013083	313	1758406	1	2495402	12155282	207
2013583	321	1438579	3	2497419	1215175	27
2013083	133	4922313	5	2496515	12153737	389
2013083	161	2893248	5	2498203	12154348	517
2012833	317	1160632	0	2494968	12153009	137
2013417	336	3712495	8	2497254	12154059	419
2012917	35	5647425	7	2495744	12153711	535
2013500	303	4510359	1	2494925	12149542	226
2013083	133	3360532	5	2495776	12153438	424
2013417	11	1931207	2	2496365	12151471	213
2013500	53	2596607	6	2497585	12154516	632
2012917	172	2175877	3	2496303	12151254	277
2013583	26	5334762	4	2497445	12154765	55
2013333	175	9957554	0	2496305	12154915	253
2013417	401	1237429	8	2497635	12154329	443
2013000	1	1935845	6	2496571	12154089	507
2013500	85	1048101	5	2496674	12154067	568
2013417	304	464223	6	2497964	12153805	362
2012833	125	5619845	5	2498746	12154391	42
2013583	66	9045606	9	2497433	1215431	59
2013083	355	6407391	3	2497563	12153715	408
2013583	325	4245442	8	2497587	12153913	363
2013167	138	4082015	0	2494155	12150381	20
2012917	68	3795575	10	2498343	12153762	544
2013500	123	1360139	1	2495204	12154842	295
2013583	359	6164004	3	2497723	12153767	368
2012833	205	2185128	3	2496322	12151237	256
2012917	382	5524371	2	2497598	12153381	298
2013000	18	1414837	1	2495182	12154887	265
2013500	118	5334762	4	2497445	12154765	403
2013000	308	3777956	6	2496427	12153964	368
2013083	132	1509347	7	2496725	12154252	481
2012917	253	2707392	3	2496056	12150831	177
2013083	151	3832805	7	2496735	12154464	437
2012750	0	3389679	9	2496853	12154413	508
2012833	18	1455798	1	249512	121549	27
2013583	169	4066587	0	2494297	12150342	183
2012917	89	140643	0	2498573	12152758	48
2013500	23	3947945	0	2494783	12150243	253
2012833	0	2740144	1	249748	12153059	454
2013250	91	1402016	0	2498569	1215276	432
2012917	206	2469645	4	2496108	12151046	218
2012917	319	1146329	0	249492	12153076	161
2012917	409	1675989	5	249663	12154026	41
2012917	8	1048101	5	2496674	12154067	518
2013417	64	9045606	9	2497433	1215431	595
2013083	284	6174424	3	2497746	12153299	346
2013417	164	2893248	5	2498203	12154348	51
2013417	64	9045606	9	2497433	1215431	622
2013500	175	9647496	4	2498872	12153411	382
2012833	127	1701289	1	2497371	12152984	329
2013083	11	1935845	6	2496571	12154089	544
2012750	0	2083905	6	2495618	12153844	457
2012667	327	3924459	6	2496398	1215425	305
2012833	0	2929978	6	2497744	12154458	71
2013083	172	1895181	8	2497707	12154308	471
2013333	122	1360139	1	2495204	12154842	266
2013417	314	5925006	2	249726	12153561	341
2013583	4	2147376	3	2496299	12151284	284
2013083	81	1048101	5	2496674	12154067	516
2013583	333	1966172	7	2497701	12154224	394
2013417	99	2102427	3	2496044	12151462	231
2013333	148	3932606	6	2496172	12153812	76
2012667	306	1438383	8	2498155	12154142	533
2013083	206	7379161	2	2498092	12154739	464
2013000	309	6396283	1	2494375	12147883	122
2013000	136	4197349	0	2493885	12150383	13
2013500	253	1583722	3	2496622	12151709	306
2013500	166	2893248	5	2498203	12154348	596
2013167	133	4922313	5	2496515	12153737	313
2013500	136	4922313	5	2496515	12153737	48
2013250	315	4149476	4	2498199	12154464	325
2013417	0	1854296	0	249711	1215317	455
2012917	99	2791726	7	2497528	12154541	574
2013167	11	1935845	6	2496571	12154089	486
2013083	386	8046897	4	2497838	12153477	629
2013250	38	3838624	5	2498085	12154391	55
2013083	413	1249912	6	2496674	12154039	607
2013417	385	2168329	7	2498086	12154162	41
2013250	296	535527	8	2498092	12153653	375
2013500	4	2147376	3	2496299	12151284	307
2013167	266	4827581	5	2497433	12153863	375
2012833	18	3733937	8	249866	12154082	395
2012667	334	1869686	6	2496604	12154211	422
2012917	189	1009235	0	2496357	12154951	208
2012750	114	3905684	5	2497937	12154245	468
2013500	136	3190708	6	2496495	12154277	474
2013167	10	9424664	0	2497843	12152406	435
2012667	129	4922313	5	2496515	12153737	425
2013250	162	2893248	5	2498203	12154348	514
2013333	51	1559827	3	2497213	12151627	289
2013417	198	6406071	5	2497017	12154647	375
2013500	136	4922313	5	2496515	12153737	401
2013083	119	1360139	1	2495204	12154842	284
2012917	21	4512438	5	2497563	12154694	455
2012750	0	1854296	0	249711	1215317	522
2012750	32	4898821	8	2497017	12154494	432
2013500	164	378059	0	2493293	12151203	451
2012667	349	1794538	8	2497349	12154245	397
2013250	358	1707311	7	2496719	12154269	485
2013500	49	3877721	9	2498118	12153788	447
2013333	12	1360139	1	2495204	12154842	289
2013250	65	3761709	6	2495418	12153713	409
2013500	169	4066587	0	2494297	12150342	207
2013167	138	4082015	0	2494155	12150381	156
2013583	307	126473	0	2494883	12152954	183
2013250	161	8159314	4	2497886	12153464	356
2013000	116	3905684	5	2497937	12154245	394
2012667	155	8159314	4	2497886	12153464	374
