"PPE_NO";"GODZ";"FLAGA_EXTR";"ENERGIA";"WARTOSC"
"PLTAUD475000010462";2019-03-01 00:15:00;0;"A+";9,36
"PLTAUD475000010462";2019-03-01 00:15:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 00:15:00;0;"Ri+";2,04
"PLTAUD475000010462";2019-03-01 00:30:00;0;"A+";9,12
"PLTAUD475000010462";2019-03-01 00:30:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 00:30:00;0;"Ri+";1,8
"PLTAUD475000010462";2019-03-01 00:45:00;0;"A+";9,24
"PLTAUD475000010462";2019-03-01 00:45:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 00:45:00;0;"Ri+";1,8
"PLTAUD475000010462";2019-03-01 01:00:00;0;"A+";9,48
"PLTAUD475000010462";2019-03-01 01:00:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 01:00:00;0;"Ri+";2,04
"PLTAUD475000010462";2019-03-01 01:15:00;0;"A+";9,24
"PLTAUD475000010462";2019-03-01 01:15:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 01:15:00;0;"Ri+";2,52
"PLTAUD475000010462";2019-03-01 01:30:00;0;"A+";9,12
"PLTAUD475000010462";2019-03-01 01:30:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 01:30:00;0;"Ri+";1,92
"PLTAUD475000010462";2019-03-01 01:45:00;0;"A+";8,64
"PLTAUD475000010462";2019-03-01 01:45:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 01:45:00;0;"Ri+";1,92
"PLTAUD475000010462";2019-03-01 02:00:00;0;"A+";8,16
"PLTAUD475000010462";2019-03-01 02:00:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 02:00:00;0;"Ri+";1,8
"PLTAUD475000010462";2019-03-01 02:15:00;0;"A+";9
"PLTAUD475000010462";2019-03-01 02:15:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 02:15:00;0;"Ri+";2,28
"PLTAUD475000010462";2019-03-01 02:30:00;0;"A+";8,28
"PLTAUD475000010462";2019-03-01 02:30:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 02:30:00;0;"Ri+";2,16
"PLTAUD475000010462";2019-03-01 02:45:00;0;"A+";8,28
"PLTAUD475000010462";2019-03-01 02:45:00;0;"Rc-";0
